uniprot,symbol,entrez
O95373,IPO7,10527
A0AVI4,TMEM129,92305
Q13522,PPP1R1A,5502
-,SNAR-B2,100170217
Q9NY99,SNTG2,54221
Q96K19,RNF170,81790
Q9Y336,SIGLEC9,27180
Q96LC7,SIGLEC10,89790
Q9Y286,SIGLEC7,27036
Q7Z3J2,C16orf62,57020
Q9C0C6,CIPC,85457
Q8WYA1,ARNTL2,56938
P51449,RORC,6097
Q6ZMN8,CCNI2,645121
Q17R55,FAM187B,148109
Q9UJM8,HAO1,54363
Q92604,LPGAT1,9926
Q86X40,LRRC28,123355
P43363,MAGEA10,4109
Q8NBT0,POC1A,25886
Q8N3J5,PPM1K,152926
O60507,TPST1,8460
P81408,FAM189B,10712
-,FRMD8P1,83957
Q9H1B4,NXF5,55998
Q9HBU9,POPDC2,64091
P25106,ACKR3,57007
Q9BXA7,TSSK1B,83942
Q9NZR4,VSX1,30813
P01242,GH2,2689
Q8TED1,GPX8,493869
A6NJ78,METTL15,196074
O60487,MPZL2,10205
Q8NET5,NFAM1,150372
Q9HBJ0,PLAC1,10761
Q9BZE7,C22orf23,84645
P33765,ADORA3,140
Q580R0,C2orf27B,408029
Q9Y3Q3,TMED3,23423
Q8N131,TMEM123,114908
P0DML2|P0DML3,CSH1,1442
Q9NQX7,ITM2C,81618
Q9BX40,LSM14B,149986
Q9Y255,PRELID1,27166
Q9UQ72,PSG11,5680
Q86UA6,RPAIN,84268
Q9BRN9,TM2D3,80213
Q5M9N0,CCDC158,339965
P0CG37,CFC1,55997
Q96BQ1,FAM3D,131177
P05538,HLA-DQB2,3120
Q7LGA3,HS2ST1,9653
Q13907,IDI1,3422
Q9BXS1,IDI2,91734
B9A064,IGLL5,100423062
Q5T5S1,CCDC183,84960
Q9BRQ4,C11orf70,85016
Q7Z304,MAMDC2,256691
Q9P267,MBD5,55777
Q8WZ82,OVCA2,124641
Q9BZD7,PRRG3,79057
Q7RTY3,PRSS45,377047
Q96HJ3,CCDC34,91057
Q53R12,TM4SF20,79853
Q96MW1,CCDC43,124808
Q8NCR9,CLRN3,119467
P30085,CMPK1,51727
O95661,DIRAS3,9077
P20160,AZU1,566
Q96C11,FGGY,55277
Q8N0W7,FMR1NB,158521
Q4G1C9,GLIPR1L2,144321
Q9UBX7,KLK11,11012
O95157,NXPH3,11248
P41247,PNPLA4,8228
Q9BZG1,RAB34,83871
Q6XE24,RBMS3,27303
Q8N5S1,SLC25A41,284427
O60637,TSPAN3,10099
Q6NUS8,UGT3A1,133688
Q8NB15,ZNF511,118472
P20851,C4BPB,725
Q9GZT6,CCDC90B,60492
Q9NY35,CLDND1,56650
Q9NZA1,CLIC5,53405
Q9NZJ6,COQ3,51805
Q9GZU8,FAM192A,80011
Q92506,HSD17B8,7923
Q8TCB7,METTL6,131965
O95478,NSA2,10412
Q9NUD7,C20orf96,140680
Q9H6H4,REEP4,80346
Q9BSG5,RTBDN,83546
P01008,SERPINC1,462
Q9BPZ2,SPIN2B,474343
Q9BR01,SULT4A1,25830
O94901,SUN1,23353
-,FAM153B,202134
Q68DX3,FRMPD2,143162
Q9H0R4,HDHD2,84064
P20036,HLA-DPA1,3113
Q96QP1,ALPK1,80216
P40313,CTRL,1506
Q9H2C2,ARV1,64801
P52799,EFNB2,1948
Q8N8Q3,ENDOV,284131
Q5JUQ0,FAM78A,286336
Q99501,GAS2L1,10634
P53701,HCCS,3052
Q9HBG6,IFT122,55764
Q7L8W6,DPH6,89978
Q9HBL6,LRTM1,57408
Q86VD1,MORC1,27136
P18440,NAT1,9
Q9BXJ5,C1QTNF2,114898
Q12968,NFATC3,4775
Q86X67,NUDT13,25961
P01210,PENK,5179
Q86XI6,PPP1R3B,79660
O75678,RFPL2,10739
Q9Y5W9,SNX11,29916
A0AVF1,TTC26,79989
P10746,UROS,7390
Q96CX3,ZNF501,115560
Q8NCR6,C9orf24,84688
P29016,CD1B,910
O95813,CER1,9350
Q9BWP8,COLEC11,78989
Q86VU5,COMTD1,118881
P48060,GLIPR1,11010
O95156,NXPH2,11249
Q8TCT1,PHOSPHO1,162466
Q6ZWI9,RFPL4B,442247
P22090,RPS4Y1,6192
Q96LD1,SGCZ,137868
Q8TBG9,SYNPR,132204
-,TRAC,28755
Q96SJ8,TSPAN18,90139
Q9Y2I8,WDR37,22884
Q5QGZ9,CLEC12A,160364
-,CTRB1,1504
P54709,ATP1B3,483
Q9UKZ9,PCOLCE2,26577
Q8WXH6,RAB40A,142684
Q9H1X1,RSPH9,221421
O75298,RTN2,6253
O76038,SCGN,10590
Q96PP4,TSGA13,114960
Q8NF99,ZNF397,84307
Q8NC01,CLEC1A,51267
Q9BT09,CNPY3,10695
Q7Z5M8,ABHD12B,145447
Q99943,AGPAT1,10554
Q9UHW5,GPN3,51184
Q2KHT4,GSG1,83445
Q96Q83,ALKBH3,221120
Q9H0R1,AP5M1,55745
B0YJ81,PTPLA,9200
Q8NG50,RDM1,201299
P57103,SLC8A3,6547
Q5VX52,SPATA1,100505741
Q5VX71,SUSD4,55061
Q9NX07,TRNAU1AP,54952
Q8NE79,BVES,11149
O95567,C22orf31,25770
Q6ZQR2,C9orf171,389799
Q56P03,EAPP,55837
Q8N336,ELMOD1,55531
Q6PIV2,FOXR1,283150
Q8N9F7,GDPD1,284161
P28845,HSD11B1,3290
P14415,ATP1B2,482
Q9Y337,KLK5,25818
Q9H400,LIME1,54923
Q9UIY3,RWDD2A,112611
Q6UWI4,SHISA2,387914
Q9HBV2,SPACA1,81833
Q9NQZ5,STARD7,56910
Q9UIW0,VAX2,25806
Q5BJH7,YIF1B,90522
Q3KPI0,CEACAM21,90273
Q5SW79,CEP170,9859
Q8N6D5,ANKRD29,147463
Q7Z5P4,HSD17B13,345275
P20774,OGN,4969
Q86YI8,PHF13,148479
O60779,SLC19A2,10560
Q9Y619,SLC25A15,10166
Q9BQT8,SLC25A21,89874
O00338,SULT1C2,6819
Q9Y320,TMX2,51075
Q96KV7,WDR90,197335
Q8NE22,SETD9,133383
Q96DR7,ARHGEF26,26084
Q92874,DNASE1L2,1775
Q8NBA8,DTWD2,285605
Q8IY42,C4orf19,55286
Q6UXL0,IL20RB,53833
-,NSUN5P2,260294
Q96AB6,NTAN1,123803
Q8N4L4,SPEM1,374768
Q96BW1,UPRT,139596
Q6ICG8,WBP2NL,164684
Q96IQ9,ZNF414,84330
Q6X784,ZPBP2,124626
Q8IUN9,CLEC10A,10462
Q9BRF8,CPPED1,55313
Q96GK7,FAHD2A,51011
Q08830,FGL1,2267
Q9HC97,GPR35,2859
A2RUC4,TYW5,129450
P22304,IDS,3423
O14734,ACOT8,10005
Q9UQ10,DHDH,27294
Q7L591,DOK3,79930
A1A519,FAM170A,340069
P51857,AKR1D1,6718
Q9NZC3,GDE1,51573
Q9Y2T6,GPR55,9290
Q86XE5,HOGA1,112817
Q8WWU7,ITLN2,142683
-,ANKRD26P1,124149
Q8TDD5,MCOLN3,55283
Q9NQN1,OR2S2,56656
O76099,OR7C1,26664
Q9GZN4,PRSS22,64063
Q9NYW3,TAS2R7,50837
Q8WVE6,TMEM171,134285
Q3B726,TWISTNB,221830
Q8IXZ2,ZC3H3,23144
Q9BXJ4,C1QTNF3,114899
Q0P651,C4orf29,80167
Q86UT8,CCDC84,338657
Q96LI9,CXorf58,254158
P58397,ADAMTS12,81792
O15520,FGF10,2255
Q86V85,GPR180,160897
Q8TAA5,GRPEL2,134266
Q7Z5R6,APBB1IP,54518
Q6UWL6,KIRREL2,84063
A6PVS8,LRRIQ3,127255
Q6NZ67,MZT2B,80097
Q9GZP1,NRSN2,80023
Q96NZ9,PRAP1,118471
A6ND91,ASPDH,554235
Q8N6K0,TEX29,121793
Q8N4H0,SPATA6L,55064
P78369,CLDN10,9071
Q96J86,CYYR1,116159
-,DHRS4L2,317749
Q96LL9,DNAJC30,84277
Q6PHW0,IYD,389434
Q3SYC2,MOGAT2,80168
A4D161,FAM221A,340277
Q8IXM7,ODF3L1,161753
P0C0E4,RAB40AL,282808
Q3KQZ1,SLC25A35,399512
Q15526,SURF1,6834
Q86T03,TMEM55B,90809
Q8N5P1,ZC3H8,84524
Q9Y6Z7,COLEC10,10584
Q9HAI6,CXorf21,80231
P49184,DNASE1L1,1774
Q96GS6,ABHD17A,81926
Q9BTV5,FSD1,79187
Q6DCA0,AMMECR1L,83607
Q8NCI6,GLB1L3,112937
O14756,HSD17B6,8630
Q8WWA0,ITLN1,55600
Q96EZ4,MYEOV,26579
P53370,NUDT6,11162
O60404,OR10H3,26532
Q8NGT1,OR2K2,26248
O95221,OR5F1,338674
Q96HP4,OXNAD1,92106
Q9H2U2,PPA2,27068
P32322,PYCR1,5831
Q96NR8,RDH12,145226
Q92781,RDH5,5959
Q6PF06,TRMT10B,158234
Q8N228,SCML4,256380
Q9H2D1,SLC25A32,81034
Q96H78,SLC25A44,9673
Q8NCR3,C11orf65,160140
Q8NDV1,ST6GALNAC3,256435
P59536,TAS2R41,259287
Q6NUS6,TCTN3,26123
P25874,UCP1,7350
Q5TEU4,NDUFAF5,79133
P14550,AKR1A1,10327
Q9NX36,DNAJC28,54943
Q92902,HPS1,3257
P17516,AKR1C4,1109
Q96T55,KCNK16,83795
Q8TBJ4,LPPR1,54886
Q96FV0,LRRC46,90506
Q9Y673,ALG5,29880
Q96S97,MYADM,91663
Q96FM1,PGAP3,93210
Q9NUJ7,PLCXD1,55344
Q6DKI7,PVRIG,79037
P58005,SESN3,143686
Q9H936,SLC25A22,79751
Q9NY26,SLC39A1,27173
O75529,TAF5L,27097
Q9BXJ8,TMEM120A,83862
Q8NA56,TTC29,83894
Q9BT76,UPK3B,80761
A8K979,ERI2,112479
Q8WV15,TMEM255B,348013
Q14330,GPR18,2841
O43462,MBTPS2,51360
O15442,MPPED1,758
Q96DH6,MSI2,124540
Q9H300,PARL,55486
Q9H4I3,TRABD,80305
O95900,TRUB2,26995
Q6PKC3,TXNDC11,51061
Q96IQ7,VSIG2,23584
Q9NU53,GINM1,116254
Q9NS85,CA10,56934
O75493,CA11,770
Q9UBN1,CACNG4,27092
Q96JG6,CCDC132,55610
P43235,CTSK,1513
Q6UX07,DHRS13,147015
Q9H6X2,ANTXR1,84168
Q9UG22,GIMAP2,26157
Q6NVY1,HIBCH,26275
Q9BQE5,APOL2,23780
Q9UIC8,LCMT1,51451
Q96DT0,LGALS12,85329
Q96DD0,LRRC39,127495
Q08431,MFGE8,4240
Q8N387,MUC15,143662
Q15391,P2RY14,9934
P78382,SLC35A1,10559
Q11206,ST3GAL4,6484
Q9BVH7,ST6GALNAC5,81849
Q9BXA5,SUCNR1,56670
Q96BN2,TADA1,117143
O14657,TOR1B,27348
Q7KYR7,BTN2A1,11120
P78410,BTN3A2,11118
Q8N5U0,C11orf42,160298
P0C862,C1QTNF9,338872
Q9H9S4,CAB39L,81617
O60911,CTSV,1515
Q9NPC4,A4GALT,53947
O15335,CHAD,1101
Q9BSE5,AGMAT,79814
Q8IYX4,DND1,373863
Q6DKI2,LGALS9C,654346
Q9BRP1,PDCD2L,84306
Q96HE9,PRR11,55771
Q6NXP6,NOXRED1,122945
Q8WWV3,RTN4IP1,84816
Q9NUC0,SERTAD4,56256
Q8N9M1,C19orf47,126526
P28289,TMOD1,7111
Q96J42,TXNDC15,79770
Q6UWU4,C6orf89,221477
P00326,ADH1C,126
Q9UQ16,DNM3,26052
Q9H8M7,FAM188A,80013
P78334,GABRE,2564
Q9Y2T5,GPR52,9293
Q9P272,KIAA1456,57604
Q13201,MMRN1,22915
Q9Y2A9,B3GNT3,10331
Q8WXG1,RSAD2,91543
P08185,SERPINA6,866
Q9BU70,C9orf156,51531
Q6P5W5,SLC39A4,55630
P17405,SMPD1,6609
Q6PF05,TTC23L,153657
Q9UNA3,A4GNT,51146
P43657,LPAR6,10161
Q9H6Y5,MAGIX,79917
Q8NFH5,NUP35,129401
Q9H255,OR51E2,81285
O60513,B4GALT4,8702
Q9H244,P2RY12,64805
Q96LB9,PGLYRP3,114771
Q7Z6L0,PRRT2,112476
Q7RTY5,PRSS48,345062
Q6PK18,OGFOD3,79701
Q86TJ2,TADA2B,93624
Q5H9I0,TFDP3,51270
Q86YD3,TMEM25,84866
Q15417,CNN3,1266
Q9H977,WDR54,84058
P43234,CTSO,1519
Q9BPW9,DHRS9,10170
Q9H201,EPN3,55040
Q9NZD1,GPRC5D,55507
P28358,HOXD10,3236
P56937,HSD17B7,51478
Q8N9I9,DTX3,196403
Q9H1C3,GLT8D2,83468
A4D1E9,GTPBP10,85865
P78540,ARG2,384
O95274,LYPD3,27076
O15480,MAGEB3,4114
A2RUH7,MYBPHL,343263
Q86VZ1,P2RY8,286530
Q16769,QPCT,25797
Q9UN42,ATP1B4,23439
Q5T160,RARS2,57038
Q6FHJ7,SFRP4,6424
Q9H5K3,POMK,84197
Q96L03,SPATA17,128153
Q92185,ST8SIA1,6489
B9ZVM9,TCP10L2,401285
Q8NFB2,TMEM185A,84548
P58304,VSX2,338917
Q8WZ79,DNASE2B,58511
Q6P444,MTFR2,113115
P48448,ALDH3B2,222
O43837,IDH3B,3420
A2RU30,TESPA1,9840
Q14943,KIR3DS1,3813
Q29983,MICA,100507436
Q49AM1,MTERF2,80298
Q9UGC7,MTRF1L,54516
Q8IXS6,PALM2,114299
Q9UI38,PRSS50,29122
Q96QS6,PSKH2,85481
Q8NEY4,ATP6V1C2,245973
Q96FV2,SCRN2,90507
P54219,SLC18A1,6570
Q6ZMD2,SPNS3,201305
Q9BWG4,SSBP4,170463
Q96I99,SUCLG2,8801
Q8IYR6,TMEFF1,8577
Q5T2D2,TREML2,79865
Q9BUA3,C11orf84,144097
Q9NTX9,FAM217B,63939
Q8N7X2,C9orf173,441476
Q96L12,CALR3,125972
Q96ER9,CCDC51,79714
Q96FG2,ELMOD3,84173
Q9NYF3,FAM53C,51307
Q53RD9,FBLN7,129804
P37059,HSD17B2,3294
Q13508,ART3,419
Q8NF37,LPCAT1,79888
Q9NXL9,MCM9,254394
Q9H239,MMP28,79148
Q86YV6,MYLK4,340156
Q9P0Z9,PIPOX,51268
Q96JA3,PLEKHA8,84725
Q8NBL1,POGLUT1,56983
Q96P15,SERPINB11,89778
Q9P1W8,SIRPG,55423
Q9UNP4,ST3GAL5,8869
Q8TBE7,SLC35G2,80723
O00744,WNT10B,7480
Q6ZS27,ZNF662,389114
O60512,B4GALT3,8703
O95972,BMP15,9210
Q8NFS9|Q06430|Q8N0V5,GCNT2,2651
O60478,GPR137B,7107
P07098,LIPF,8513
Q9H1Y3,OPN3,23596
Q6ZNE9,RUFY4,285180
Q96Q45,TMEM237,65062
Q9H497,TOR3A,64222
Q9HAS0,C17orf75,64149
Q96NG5,ZNF558,148156
Q96KC9,CABS1,85438
Q8WVQ1,CANT1,124583
Q9BRT8,CBWD1,55871
Q9GZN1,ACTR6,64431
Q6P3S1,DENND1B,163486
Q96LZ7,RMDN2,151393
O75129,ASTN2,23245
P30511,HLA-F,3134
O75122,CLASP2,23122
P09543,CNP,1267
Q969Z4,RELT,84957
Q8NBX0,SCCPDH,51097
Q9UGH3,SLC23A2,9962
O14863,SLC30A4,7782
Q9BS91,SLC35A5,55032
O60906,SMPD2,6610
Q8NEF9,SRFBP1,153443
Q9BV38,WDR18,57418
Q6ZSS3,ZNF621,285268
Q8N7E2,ZNF645,158506
Q96A84,EMID1,129080
Q6UWR7,ENPP6,133121
Q8N2R8,FAM43A,131583
Q96CP2,FLYWCH2,114984
P17658,KCNA6,3742
-,MGC39584,441058
Q9H1R3,MYLK2,85366
Q13946,PDE7A,5150
Q92737,RASL10A,10633
Q7Z3H4,SAMD7,344658
Q96SA4,SERINC2,347735
Q9HAT2,SIAE,54414
Q6NT04,TIGD7,91151
Q5VTQ0,TTC39B,158219
Q9H4I9,SMDT1,91689
Q8WVX3,C4orf3,401152
Q05901,CHRNB3,1142
Q9UKG9,CROT,54677
Q86YN1,DOLPP1,57171
Q9NR23,GDF3,9573
Q9H4A6,GOLPH3,64083
Q9NS66,GPR173,54328
Q6EKJ0,GTF2IRD2B,389524
A5X5Y0,HTR3E,285242
Q96MG2,JSRP1,126306
Q9UPM6,LHX6,26468
Q96GM1,LPPR2,64748
Q5VZF2,MBNL2,10150
Q9H477,RBKS,64080
Q9NQW1,SEC31B,25956
O15466,ST8SIA5,29906
Q86UX6,STK32C,282974
Q969M1,TOMM40L,84134
Q8TAG5,VSTM2A,222008
O95389,WISP3,8838
Q8N0Y2,ZNF444,55311
Q96C55,ZNF524,147807
Q9BZP6,CHIA,27159
Q9Y240,CLEC11A,6320
Q5SW24,DACT2,168002
Q9BU89,DOHH,83475
Q9H4A9,DPEP2,64174
Q8NA75,DCAF4L2,138009
Q9Y282,ERGIC3,51614
P36383,GJC1,10052
Q9NQS5,GPR84,53831
Q0VG99,MESP2,145873
Q495B1,ANKDD1A,348094
Q3SY56,SP6,80320
Q5T4D3,TMTC4,84899
A6NHL2,TUBAL3,79861
Q96P53,WDFY2,115825
Q8N2K0,ABHD12,26090
Q9NX78,TMEM260,54916
Q9Y426,C2CD2,25966
Q8IUF1,CBWD2,150472
P40200,CD96,10225
Q3SXM0,DCAF4L1,285429
O14498,ISLR,3671
O96009,NAPSA,9476
Q9H3S5,PIGM,93183
Q86YW0,PLCZ1,89869
Q16557,PSG3,5671
Q96NU7,AMDHD1,144193
P29622,SERPINA4,5267
P05543,SERPINA7,6906
Q9H3S3,TMPRSS5,80975
O95922,TTLL1,25809
Q401N2,ZACN,353174
Q3SXY8,ARL13B,200894
Q6V9R5,ZNF562,54811
Q9H2A9,CHST8,64377
P28330,ACADL,33
Q96BN6,FAM149B1,317662
Q3SYB3,FOXD4L6,653404
Q14642,INPP5A,3632
P45954,ACADSB,36
Q8IYU8,MICU2,221154
Q92685,ALG3,10195
Q14314,FGL2,10875
P26012,ITGB8,3696
Q9H9P8,L2HGDH,79944
Q8N6C8,LILRA3,11026
Q9NP92,MRPS30,10884
O94832,MYO1D,4642
Q8N8W4,PNPLA1,285848
Q6HA08,ASTL,431705
O75783,RHBDL1,9028
Q9BY78,RNF26,79102
Q8WUA7,TBC1D22A,25771
Q9UIF3,TEKT2,27285
Q0P6H9,TMEM62,80021
Q9Y4R7,TTLL3,26140
Q8IV20,LACC1,144811
P58658,EVA1C,59271
Q8NDZ4,C3orf58,205428
Q7L1S5,CHST9,83539
Q6P2H3,CEP85,64793
Q8N635,MEIOB,254528
Q14353,GAMT,2593
P37058,HSD17B3,3293
Q96D96,HVCN1,84329
Q8N6M8,IQCF1,132141
Q8N565,MREG,55686
Q8TBF2,FAM213B,127281
Q9BY49,PECR,55825
Q8IXN7,RIMKLA,284716
O60939,SCN2B,6327
Q8IV31,TMEM139,135932
Q9H6F2,TMEM38A,79041
O14905,WNT9B,7484
Q8IWD4,CCDC117,150275
O00421,CCRL2,9034
Q3SY69,ALDH1L2,160428
Q86VR2,FAM134C,162427
P42331,ARHGAP25,9938
A8MVW5,HEPACAM2,253012
Q8WXA8,HTR3C,170572
P85298,ARHGAP8,23779
Q8WWY8,LIPH,200879
Q5JRA6,MIA3,375056
-,NSUN7,79730
Q9BQG2,NUDT12,83594
Q9GZU5,NYX,60506
Q9UHM6,OPN4,94233
Q13093,PLA2G7,7941
Q00G26,PLIN5,440503
-,PRAMEF5,343068
Q8N412,STPG2,285555
Q8IZM9,SLC38A6,145389
Q9UMX9,SLC45A2,51151
Q7Z3Q1,SLC46A3,283537
P31639,SLC5A2,6524
Q7RTX7,CATSPER4,378807
P17023,ZNF19,7567
Q8TF68,ZNF384,171017
Q9UGM1,CHRNA9,55584
Q9H3G5,CPVL,54504
Q9H0B8,CRISPLD2,83716
O43854,EDIL3,10085
P51648,ALDH3A2,224
Q14154,KIAA0141,9812
Q96FN5,KIF12,113220
O94889,KLHL18,23276
O43300,LRRTM2,26045
Q8N344,MIER2,54531
Q7RTX9,SLC16A14,151473
Q8IY51,TIGD4,201798
Q96NA8,TSNARE1,203062
Q96NG8,ZNF582,147948
Q66K79,CPZ,8532
Q8N118,CYP4X1,260293
Q9NRP4,ACN9,57001
Q8TDM0,BCAS4,55653
Q6UWJ8,CD164L2,388611
Q14406,CSHL1,1444
Q5W186,CST9,128822
Q96D98,EID2B,126272
Q8N5X7,EIF4E3,317649
Q96T91,GPHA2,170589
O14558,HSPB6,126393
Q9BQS6,HSPB9,94086
Q96LU5,IMMP1L,196294
Q5SWW7,C10orf55,414236
P0C7M6,IQCF3,401067
Q9NZS2,KLRF1,51348
Q6UWW0,LCN15,389812
Q8N9F0,NAT8L,339983
Q8IVA1,PCP2,126006
Q9NXJ5,PGPEP1,54858
-,LINC01561,404216
Q5GAN3,RNASE13,440163
Q6P5R6,RPL22L1,200916
Q99954,SMR3A,26952
Q8TDM5,SPACA4,171169
Q4W5P6,TMEM155,132332
A2RUT3,TMEM89,440955
Q6UXU6,TMEM92,162461
Q2NL98,VMAC,400673
Q96E14,RMI2,116028
B2RV13,C17orf105,284067
Q5BKU9,OXLD1,339229
-,C1orf220,400798
Q5JX71,FAM209A,200232
Q2M2E5,C5orf64,285668
A2RUU4,CLPSL1,340204
P35318,ADM,133
Q5SSQ6,SAPCD1,401251
Q49AH0,CDNF,441549
Q96T59,CDRT15,146822
A0PJX0,CIB4,130106
Q9NY25,CLEC5A,23601
Q96F85,CNRIP1,25927
A6NMK7,CPSF4L,642843
Q6NUT2,DPY19L2,283417
Q8NAP1,GATS,352954
Q2TAP0,GOLGA7B,401647
Q16774,GUK1,2987
P01570,IFNA14,3448
P01563,IFNA2,3440
Q86WA6,BPHL,670
Q9UHA7,IL36A,27179
P31025,LCN1,3933
Q86Y78,LYPD6,130574
Q9NY56,OBP2A,29991
O75594,PGLYRP1,8993
Q9BX93,PLA2G12B,84647
Q9NP90,RAB9B,51209
Q96IL0,APOPT1,84334
Q9BX46,RBM24,221662
Q9H1E1,RNASE7,84659
Q9UBC9,SPRR3,6707
Q5BJD5,TMEM41B,440026
Q5XKK7,FAM219B,57184
Q6P589,TNFAIP8L2,79626
Q6UXN7,TOMM20L,387990
Q8IXB3,TUSC5,286753
Q8N8Y5,ZFP41,286128
A2RUQ5,C17orf102,400591
Q5BKX5,C19orf54,284325
Q8IX19,MCEMP1,199675
Q6ZWK4,C1orf186,440712
Q8TCI5,PIFO,128344
Q8NBC4,C20orf203,284805
O43247,TEX33,339669
Q96LS8,C2orf48,348738
Q2NKX9,C2orf68,388969
Q5MAI5,CDKL4,344387
Q8N128,FAM177A1,283635
Q9BTL4,IER2,9592
Q6NXT4,SLC30A6,55676
Q4KMG9,TMEM52B,120939
Q96DC7,TMCO6,55374
O15165,LDLRAD4,753
Q03252,LMNB2,84823
Q9UI46,DNAI1,27019
Q9GZS0,DNAI2,64446
O95925,EPPIN,57119
Q5VY43,PEAR1,375033
P63267,ACTG2,72
Q9BVC6,TMEM109,79073
Q9Y448,KNSTRN,90417
Q9Y697,NFS1,9054
Q8IWL3,HSCB,150274
Q8NBU5,ATAD1,84896
A2A2Y4,FRMD3,257019
Q7Z6J6,FRMD5,84978
Q9H2L5,RASSF4,83937
O75901,RASSF9,9182
A6NK89,RASSF10,644943
Q8TDI0,CHD5,26038
P41586,ADCYAP1R1,117
Q6AWC2,WWC2,80014
-,TCPT,140892
Q96DE5,ANAPC16,119504
Q96JY0,MAEL,84944
Q6N021,TET2,54790
Q8NFU7,TET1,80312
Q8WXX7,AUTS2,26053
-,TINCR,257000
Q9P1Y6,PHRF1,57661
A2RTX5,TARSL2,123283
Q9BXT6,MOV10L1,54456
Q9H501,ESF1,51575
Q13601,KRR1,11103
Q9BSC4,NOL10,79954
Q12788,TBL3,10607
O00764,PDXK,8566
P57088,TMEM33,55161
O75110,ATP9A,10079
Q96BW5,PTER,9317
Q9BY42,RTFDC1,51507
P28329,CHAT,1103
Q9H488,POFUT1,23509
Q9UDR5,AASS,10157
Q92526,CCT6B,10693
Q9UGP8,SEC63,11231
Q9UKU7,ACAD8,27034
Q9NQE7,PRSS16,10279
Q3SY77,UGT3A2,167127
Q9H0I9,TKTL2,84076
Q9Y2K3,MYH15,22989
Q9UKX2,MYH2,4620
P12882,MYH1,4619
P11055,MYH3,4621
Q9Y623,MYH4,4622
P13533,MYH6,4624
P13535,MYH8,4626
Q86XI2,NCAPG2,54892
P59998,ARPC4-TTLL3,100526693
Q5T013,HYI,81888
Q8N6H7,ARFGAP2,84364
Q96BP3,PPWD1,23398
P80404,ABAT,18
Q53GQ0,HSD17B12,51144
Q3KQV9,UAP1L1,91373
Q8NBN3,TMEM87A,25963
P07205,PGK2,5232
Q9UMY4,SNX12,29934
Q01469,FABP5,2171
O15540,FABP7,2173
O75964,ATP5L,10632
Q9Y6C9,MTCH2,23788
Q8N335,GPD1L,23171
Q8IWB7,WDFY1,57590
Q8N6R0,METTL13,51603
P55160,NCKAP1L,3071
O75165,DNAJC13,23317
Q9H993,C6orf211,79624
Q15833,STXBP2,6813
Q9ULR0,ISY1-RAB43,100534599
P07864,LDHC,3948
Q9BW30,TPPP3,51673
Q8WUX9,CHMP7,91782
Q4VC05,BCL7A,605
Q9BQE9,BCL7B,9275
P62854,LOC101929876,101929876
Q13395,TARBP1,6894
Q96C23,GALM,130589
P20020,ATP2B1,490
P61421,ATP6V0D1,9114
Q9NZJ7,MTCH1,23787
P30049,ATP5D,513
Q9UM00,TMCO1,54499
O95470,SGPL1,8879
O15260,SURF4,6836
P50993,ATP1A2,477
P13637,ATP1A3,478
Q6IMI6,SULT1C3,442038
Q8IWT0,ZBTB8OS,339487
P34059,GALNS,2588
Q9UQR0,SCML2,10389
O15127,SCAMP2,10066
Q9NVU0,LOC101060521,101060521
Q9NWZ5,UCKL1,54963
Q53S33,BOLA3,388962
Q69YN4,KIAA1429,25962
Q9BXY0,MAK16,84549
-,LOC101930400,101930400
Q96G03,PGM2,55276
Q9H2P9,DPH5,51611
Q52LJ0,FAM98B,283742
Q9NVM6,DNAJC17,55192
Q5T440,IBA57,200205
P55145,MANF,7873
Q9BQL6,FERMT1,55612
Q9NR19,ACSS2,55902
Q16720,ATP2B3,492
Q16706,MAN2A1,4124
O43272,PRODH,5625
Q5T6V5,C9orf64,84267
A1KZ92,PXDNL,137902
Q9UHY7,ENOPH1,58478
O15523,DDX3Y,8653
Q9H2J4,PDCL3,79031
Q9Y3L5,RAP2C,57826
O94808,GFPT2,9945
Q9H0C8,ILKAP,80895
P24298,GPT,2875
Q9Y3E7,RNF103-CHMP3,100526767
Q13404|A5PLL7,TMEM189-UBE2V1,387522
Q9UHR6,ZNHIT2,741
Q9UI15,TAGLN3,29114
Q96RW7,HMCN1,83872
P36776,LONP1,9361
Q9NYY8,FASTKD2,22868
Q9UNL2,SSR3,6747
P09497,CLTB,1212
Q08623,HDHD1,8226
O15498,YKT6,10652
Q96MW5,COG8,84342
Q9NVI7,ATAD3A,55210
O75897,SULT1C4,27233
Q8IWL1,SFTPA2,729238
Q9NRV9,HEBP1,50865
Q6ZXV5,TMTC3,160418
P14854,COX6B1,1340
Q9NV88,INTS9,55756
P19623,SRM,6723
Q9UGV2,NDRG3,57446
O15212,PFDN6,10471
P26232,CTNNA2,1496
P49356,CHURC1-FNTB,100529261
Q96I59,NARS2,79731
Q96GQ7,DDX27,55661
Q15397,KIAA0020,9933
Q8N1A6,C4orf33,132321
Q8NBN7,RDH13,112724
Q8TCJ2,STT3B,201595
Q8WTT2,NOC3L,64318
-,SAC3D1,29901
Q92614,MYO18A,399687
Q6RFH5,WDR74,54663
O00566,MPHOSPH10,10199
Q9NP78,ABCB9,23457
Q6NS38,ALKBH2,121642
Q9UK59,DBR1,51163
Q9H8H2,DDX31,64794
Q96KR1,ZFR,51663
O60927,PPP1R11,6992
O15438,ABCC3,8714
Q5T9A4,ATAD3B,83858
